,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
1337,K2-55 b,523.0,14 Earths,2016,Neptune-like,0.232,0.81,False,260.10701545778835
1338,K2-57 b,868.0,5.06 Earths,2016,Neptune-like,0.103,0.38,False,476.9535300216797
1339,K2-58 b,596.0,7.65 Earths,2016,Neptune-like,0.341,0.63,False,65.78890790412878
1340,K2-58 c,596.0,3.26 Earths,2016,Super Earth,0.187,0.62,False,93.22542823643798
1341,K2-58 d,596.0,3.57 Earths,2016,Super Earth,0.239,0.86,False,62.49890583148054
1342,K2-59 b,1025.0,6.39 Earths,2016,Neptune-like,0.145,0.86,False,303.9239001189061
1343,K2-59 c,1025.0,5.9 Earths,2016,Neptune-like,0.153,0.86,False,252.03981374684952
1344,K2-5 b,666.0,4.31 Earths,2015,Super Earth,0.215,0.73,False,93.2395889670092
1345,K2-5 c,666.0,5.73 Earths,2015,Neptune-like,0.205,0.73,False,136.3474122546104
1346,K2-60 b,1627.0,0.426 Jupiters,2016,Gas Giant,0.223,0.96,False,2722.5827987693297
1347,K2-61 b,1339.0,6.71 Earths,2016,Neptune-like,0.683,1.12,False,14.384047640994748
1348,K2-62 b,368.0,5.22 Earths,2016,Neptune-like,0.221,1.36,False,106.87741856227348
1349,K2-62 c,368.0,5.22 Earths,2016,Neptune-like,0.191,0.73,False,143.0881828897234
1350,K2-63 b,1711.0,10.5 Earths,2016,Neptune-like,0.191,0.73,False,287.8210575368
1351,K2-63 c,1711.0,14.5 Earths,2016,Neptune-like,0.287,1.63,False,176.03710133666794
1352,K2-64 b,1653.0,4.94 Earths,2016,Super Earth,0.348,1.63,False,40.79138591623729
1353,K2-65 b,255.0,3.12 Earths,2016,Super Earth,0.185,0.73,False,91.16143170197223
1354,K2-66 b,1698.0,21.3 Earths,2016,Super Earth,0.141,0.84,False,1071.3746793420858
1355,K2-68 b,553.0,3.12 Earths,2016,Super Earth,0.222,1.67,False,63.30654979303628
1356,K2-69 b,592.0,5.99 Earths,2016,Neptune-like,0.141,0.68,False,301.29269151451143
1357,K2-6 b,1043.0,6.8 Earths,2015,Neptune-like,0.207,0.49,False,158.6968190622885
1358,K2-70 b,765.0,8.7 Earths,2016,Neptune-like,0.238,0.96,False,153.59084810394748
1359,K2-71 b,502.0,5.27 Earths,2016,Neptune-like,0.258,0.93,False,79.17192476413676
1360,K2-72 b,217.0,1.28 Earths,2016,Super Earth,0.192,0.43,False,34.72222222222222
1361,K2-72 c,217.0,1.65 Earths,2016,Super Earth,0.096,0.33,False,179.03645833333331
1362,K2-72 d,217.0,1.01 Earths,2016,Super Earth,0.103,0.33,False,95.2021868225092
1363,K2-72 e,217.0,2.21 Earths,2016,Super Earth,0.09,0.33,False,272.8395061728395
1364,K2-73 b,885.0,6.57 Earths,2016,Neptune-like,0.115,0.33,False,496.7863894139887
1365,K2-74 b,1246.0,5.95 Earths,2016,Neptune-like,0.219,1.06,False,124.05913137757764
1366,K2-75 b,1862.0,7.61 Earths,2016,Neptune-like,0.206,0.98,False,179.3288717126968
1367,K2-75 c,1862.0,8.1 Earths,2016,Neptune-like,0.238,1.56,False,142.9983758209166
1368,K2-77 b,464.0,1.9 Jupiters,2016,Neptune-like,0.247,1.56,False,9897.851136717532
1369,K2-79 b,841.0,13.2 Earths,2016,Neptune-like,0.205,0.76,False,314.098750743605
1370,K2-7 b,2462.0,7.61 Earths,2015,Neptune-like,0.329,1.28,False,70.3060762557626
1371,K2-80 b,659.0,4.7 Earths,2016,Super Earth,0.319,0.74,False,46.1866530399662
1372,K2-80 c,659.0,2.76 Earths,2016,Super Earth,0.215,0.74,False,59.7079502433748
1373,K2-80 d,659.0,7.04 Earths,2018,Neptune-like,0.179,0.87,False,219.71848569020943
1374,K2-81 b,829.0,4.54 Earths,2016,Super Earth,0.131,0.87,False,264.55334770701006
1375,K2-83 b,411.0,2.08 Earths,2016,Super Earth,0.228,0.87,False,40.01231148045552
1376,K2-83 c,411.0,2.8 Earths,2016,Super Earth,0.176,0.63,False,90.39256198347108
1377,K2-84 b,937.0,6.39 Earths,2016,Neptune-like,0.111,0.42,False,518.626734842951
1378,K2-84 c,937.0,4.78 Earths,2016,Super Earth,0.132,0.42,False,274.33425160697885
1379,K2-85 b,318.0,1.01 Earths,2016,Super Earth,0.215,0.93,False,21.849648458626287
1380,K2-86 b,850.0,4.5 Earths,2016,Super Earth,0.181,0.93,False,137.35844449192638
1381,K2-87 b,1643.0,0.141 Jupiters,2016,Gas Giant,0.09,0.51,False,5532.4222222222215
1382,K2-88 b,362.0,2.04 Earths,2016,Super Earth,0.175,0.76,False,66.61224489795919
1383,K2-89 b,281.0,0.17 Earths,2016,Terrestrial,0.678,1.4,False,0.369819267148737
1384,K2-8 b,1331.0,12.5 Earths,2015,Neptune-like,0.11,0.26,False,1033.0578512396694
1385,K2-8 c,1331.0,6.39 Earths,2016,Neptune-like,0.055,0.32,False,2112.396694214876
1386,K2-90 b,440.0,7.27 Earths,2016,Neptune-like,0.201,0.31,False,179.94604093958066
1387,K2-90 c,440.0,2.24 Earths,2016,Super Earth,0.232,0.62,False,41.61712247324613
1388,K2-91 b,204.0,1.37 Earths,2016,Super Earth,0.116,0.62,False,101.81331747919144
1389,K2-95 b,589.0,14.3 Earths,2016,Neptune-like,0.098,0.28,False,1488.96293211162
1390,K2-97 b,2837.0,0.48 Jupiters,2016,Gas Giant,0.346,0.42,False,1274.2958334725515
1391,K2-98 b,1717.0,32.2 Earths,2016,Neptune-like,0.947,4.47,False,35.90508123803397
1392,K2-99 b,1704.0,0.97 Jupiters,2016,Gas Giant,0.464,1.57,False,1431.914201843044
1393,K2-9 b,271.0,5.69 Earths,2015,Neptune-like,1.046,2.63,False,5.200545463186718
1394,Kappa Andromedae b,163.0,13.616 Jupiters,2012,Gas Giant,,,False,
1395,Kappa Coronae Borealis b,98.0,2.17 Jupiters,2007,Gas Giant,,4.85,False,
1396,Kapteyn c,13.0,7 Earths,2014,Neptune-like,,0.29,False,
1397,KELT-10 b,597.0,0.679 Jupiters,2016,Gas Giant,1.11,1.46,False,175.14794253713168
1398,KELT-11 b,324.0,0.171 Jupiters,2017,Gas Giant,1.399,1.21,False,27.767827627310638
1399,KELT-12 b,1174.0,0.95 Jupiters,2017,Gas Giant,1.35,2.69,False,165.6674897119341
1400,KELT-14 b,868.0,1.284 Jupiters,2016,Gas Giant,1.78,2.37,False,128.79714682489583
1401,KELT-15 b,1069.0,1.31 Jupiters,2016,Gas Giant,1.743,1.52,False,137.04328007876106
1402,KELT-16 b,1469.0,2.75 Jupiters,2017,Gas Giant,1.74,1.78,False,288.6791518034086
1403,KELT-17 b,685.0,1.31 Jupiters,2016,Gas Giant,1.415,1.36,False,207.9407658979385
1404,KELT-18 b,1014.0,1.18 Jupiters,2017,Gas Giant,1.525,1.65,False,161.25884439666757
1405,KELT-19 A b,988.0,4.07 Jupiters,2017,Gas Giant,1.57,1.91,False,524.7788551259687
1406,KELT-1 b,855.0,27.23 Jupiters,2012,Gas Giant,1.91,1.83,False,2372.2591485979005
1407,KELT-20 b,456.0,3.382 Jupiters,2017,Gas Giant,1.35,1.93,False,589.7762633744856
1408,KELT-21 b,1354.0,3.91 Jupiters,2018,Gas Giant,1.741,1.56,False,409.9778923756904
1409,KELT-23 A b,409.0,0.938 Jupiters,2019,Gas Giant,1.586,1.64,False,118.51619387166076
1410,KELT-24 b,313.0,5.18 Jupiters,2019,Gas Giant,1.323,1.0,False,940.5703727699192
1411,KELT-2 A b,439.0,1.7 Jupiters,2012,Gas Giant,1.272,1.51,False,333.93037261184287
1412,KELT-3 b,689.0,1.94 Jupiters,2013,Gas Giant,1.56,1.7,False,253.3574950690335
1413,KELT-4 A b,685.0,0.902 Jupiters,2016,Gas Giant,1.699,1.6,False,99.31183422994724
1414,KELT-6 b,791.0,0.52 Jupiters,2014,Gas Giant,1.3,1.73,False,97.79076923076924
1415,KELT-6 c,791.0,3.71 Jupiters,2015,Gas Giant,,1.73,False,
1416,KELT-7 b,448.0,1.39 Jupiters,2015,Gas Giant,1.6,1.81,False,172.56632812499996
1417,KELT-8 b,648.0,0.66 Jupiters,2015,Gas Giant,1.62,1.46,False,79.92729766803839
1418,KELT-9 b,671.0,2.88 Jupiters,2017,Gas Giant,1.891,2.36,False,255.97093415580665
1419,Kepler-1000 b,3017.0,20.3 Earths,2016,Neptune-like,0.132,1.06,False,1165.0596877869605
1420,Kepler-1001 b,3291.0,10.1 Earths,2016,Neptune-like,,1.06,False,
1421,Kepler-1001 c,3291.0,3.11 Earths,2020,Super Earth,0.118,1.49,False,223.35535765584603
1422,Kepler-1002 b,1386.0,3.57 Earths,2016,Super Earth,0.196,1.49,False,92.93002915451892
1423,Kepler-1003 b,2848.0,3.82 Earths,2016,Super Earth,0.144,1.49,False,184.2206790123457
1424,Kepler-1004 b,3523.0,32.5 Earths,2016,Neptune-like,0.425,1.51,False,179.9307958477509
1425,Kepler-1005 b,1680.0,2.86 Earths,2016,Super Earth,0.281,0.88,False,36.22041260875621
1426,Kepler-1006 b,1618.0,2.99 Earths,2016,Super Earth,0.141,0.88,False,150.39484935365428
1427,Kepler-1007 b,1191.0,2.67 Earths,2016,Super Earth,0.153,1.57,False,114.05869537357428
1428,Kepler-1008 b,975.0,2.18 Earths,2016,Super Earth,0.159,1.17,False,86.23076618804636
1429,Kepler-1009 b,917.0,5.35 Earths,2016,Neptune-like,0.56,3.39,False,17.059948979591834
1430,Kepler-100 b,1003.0,7.34 Earths,2014,Super Earth,0.134,1.06,False,408.7770104700378
1431,Kepler-100 c,1003.0,7.05 Earths,2014,Neptune-like,0.137,0.74,False,375.6193723693323
1432,Kepler-100 d,1003.0,3 Earths,2014,Super Earth,0.128,0.7,False,183.10546875
1433,Kepler-1010 b,1990.0,5.99 Earths,2016,Neptune-like,0.114,0.78,False,460.9110495537088
1434,Kepler-1011 b,2805.0,8.6 Earths,2016,Neptune-like,0.194,0.57,False,228.50462323307468
1435,Kepler-1012 b,1370.0,2.21 Earths,2016,Super Earth,0.51,1.56,False,8.49673202614379
1436,Kepler-1013 b,1412.0,5.27 Earths,2016,Neptune-like,0.112,1.56,False,420.12117346938766
1437,Kepler-1014 b,2192.0,6.3 Earths,2016,Neptune-like,0.207,0.82,False,147.02793530770847
1438,Kepler-1015 b,3040.0,12.3 Earths,2016,Neptune-like,0.256,0.88,False,187.68310546875003
1439,Kepler-1016 b,4042.0,5.39 Earths,2016,Neptune-like,0.115,0.91,False,407.56143667296783
1440,Kepler-1016 c,4042.0,13.1 Earths,2016,Neptune-like,0.192,0.76,False,355.36024305555554
1441,Kepler-1017 b,1807.0,4.62 Earths,2016,Super Earth,0.213,0.84,False,101.83164715995504
1442,Kepler-1018 b,2916.0,7.18 Earths,2016,Neptune-like,0.317,1.81,False,71.45060653404849
1443,Kepler-1019 b,646.0,2.73 Earths,2016,Super Earth,0.194,1.0,False,72.53693272398766
1444,Kepler-101 b,3110.0,0.16 Jupiters,2014,Gas Giant,0.328,1.0,False,472.6650803093396
1445,Kepler-101 c,3110.0,3.78 Earths,2014,Super Earth,0.178,0.87,False,119.3031182931448
1446,Kepler-1020 b,1455.0,5.82 Earths,2016,Neptune-like,0.23,0.88,False,110.01890359168242
1447,Kepler-1021 b,2730.0,6.04 Earths,2016,Neptune-like,0.13,0.67,False,357.396449704142
1448,Kepler-1022 b,1484.0,6.17 Earths,2016,Neptune-like,0.042,0.76,False,3497.7324263038545
1449,Kepler-1023 b,2238.0,7.41 Earths,2016,Neptune-like,0.052,0.76,False,2740.384615384616
1450,Kepler-1024 b,3317.0,14.5 Earths,2016,Neptune-like,0.105,0.76,False,1315.1927437641723
1451,Kepler-1025 b,2336.0,4.58 Earths,2016,Super Earth,0.198,0.76,False,116.82481379451076
1452,Kepler-1026 b,1269.0,5.52 Earths,2016,Neptune-like,0.079,0.76,False,884.473642044544
1453,Kepler-1027 b,949.0,0.64 Earths,2016,Terrestrial,0.203,0.8,False,15.530587978354244
1454,Kepler-1028 b,2065.0,2.33 Earths,2016,Super Earth,0.208,0.86,False,53.85539940828403
1455,Kepler-1029 b,1377.0,2.13 Earths,2016,Super Earth,0.211,0.68,False,47.84259113676692
1456,Kepler-102 b,353.0,4.3 Earths,2014,Terrestrial,0.235,0.89,False,77.86328655500226
1457,Kepler-102 c,353.0,3 Earths,2014,Terrestrial,0.349,0.78,False,24.63033965238381
1458,Kepler-102 d,353.0,3.8 Earths,2014,Super Earth,0.177,1.13,False,121.29337035973062
1459,Kepler-102 e,353.0,8.93 Earths,2013,Super Earth,0.197,0.75,False,230.1012651704501
1460,Kepler-102 f,353.0,5.2 Earths,2014,Terrestrial,0.079,0.82,False,833.1998077231214
1461,Kepler-1030 b,2593.0,6.71 Earths,2016,Neptune-like,0.119,0.87,False,473.8365934609138
1462,Kepler-1031 b,2417.0,0.59 Earths,2016,Terrestrial,0.112,0.77,False,47.0344387755102
1463,Kepler-1032 b,1980.0,4.16 Earths,2016,Super Earth,0.301,1.44,False,45.91560799549675
1464,Kepler-1033 b,4648.0,6.85 Earths,2016,Neptune-like,0.459,1.44,False,32.513610624593575
1465,Kepler-1034 b,2303.0,5.73 Earths,2016,Neptune-like,0.221,0.76,False,117.31946520341516
1466,Kepler-1035 b,1331.0,1.71 Earths,2016,Super Earth,0.078,1.12,False,281.06508875739644
1467,Kepler-1036 b,1654.0,9.32 Earths,2016,Neptune-like,0.167,0.71,False,334.1819355301373
1468,Kepler-1037 b,1471.0,2.18 Earths,2016,Super Earth,0.224,0.92,False,43.44706632653061
1469,Kepler-1038 b,2029.0,12.2 Earths,2016,Neptune-like,0.202,0.8,False,298.9902950691108
1470,Kepler-1039 b,1057.0,2.73 Earths,2016,Super Earth,0.104,0.97,False,252.40384615384616
1471,Kepler-103 b,1637.0,9.7 Earths,2014,Neptune-like,0.269,0.89,False,134.05010986581166
1472,Kepler-103 c,1637.0,36.1 Earths,2014,Neptune-like,0.114,0.78,False,2777.777777777778
1473,Kepler-1040 b,1543.0,4.98 Earths,2016,Super Earth,0.315,0.83,False,50.18896447467876
1474,Kepler-1041 b,3193.0,8.96 Earths,2016,Neptune-like,0.13,0.74,False,530.1775147928994
1475,Kepler-1042 b,2150.0,5.43 Earths,2016,Neptune-like,0.277,1.35,False,70.76854904925123
1476,Kepler-1043 b,2734.0,7.04 Earths,2016,Neptune-like,0.279,1.35,False,90.44077028815148
1477,Kepler-1044 b,4916.0,7.61 Earths,2016,Neptune-like,0.319,1.35,False,74.78307013492399
1478,Kepler-1045 b,3167.0,7.7 Earths,2016,Neptune-like,0.186,0.96,False,222.5690831309978
1479,Kepler-1046 b,1690.0,3.57 Earths,2016,Super Earth,0.262,1.08,False,52.00745877279878
1480,Kepler-1047 b,1846.0,5.02 Earths,2016,Super Earth,0.195,0.72,False,132.01840894148583
1481,Kepler-1047 c,1846.0,0.937 Earths,2016,Terrestrial,0.227,0.9,False,18.18393525975664
1482,Kepler-1048 b,1354.0,3.22 Earths,2016,Super Earth,0.238,1.11,False,56.84626791893229
1483,Kepler-1049 b,421.0,0.809 Earths,2016,Terrestrial,0.24,0.82,False,14.045138888888893
1484,Kepler-104 b,1322.0,19.6 Earths,2014,Super Earth,0.153,1.04,False,837.284804989534
1485,Kepler-104 c,1322.0,9.96 Earths,2014,Neptune-like,0.186,1.13,False,287.89455428373225
1486,Kepler-104 d,1322.0,12.5 Earths,2014,Neptune-like,0.088,1.13,False,1614.1528925619837
1487,Kepler-1050 b,1810.0,3.19 Earths,2016,Super Earth,0.144,0.7,False,153.83873456790124
1488,Kepler-1050 c,1810.0,2.79 Earths,2016,Super Earth,0.085,0.49,False,386.1591695501729
1489,Kepler-1051 b,3331.0,11.5 Earths,2016,Neptune-like,0.429,0.89,False,62.48607647209047
1490,Kepler-1052 b,3428.0,8.91 Earths,2016,Neptune-like,0.117,0.89,False,650.8875739644969
1491,Kepler-1053 b,558.0,0.904 Earths,2016,Terrestrial,0.143,1.13,False,44.207540711037225
1492,Kepler-1054 b,3425.0,7.41 Earths,2016,Neptune-like,0.132,1.13,False,425.2754820936639
1493,Kepler-1055 b,1377.0,2.04 Earths,2016,Super Earth,0.303,1.73,False,22.220043786556875
1494,Kepler-1056 b,3167.0,9.32 Earths,2016,Neptune-like,0.261,1.03,False,136.81537264573333
1495,Kepler-1057 b,4769.0,11.2 Earths,2016,Neptune-like,0.087,0.69,False,1479.7199101598626
1496,Kepler-1058 b,1713.0,7.85 Earths,2016,Neptune-like,0.235,1.34,False,142.1457673155274
1497,Kepler-1059 b,2195.0,3.64 Earths,2016,Super Earth,0.11,0.94,False,300.8264462809918
1498,Kepler-105 b,1518.0,5.1 Earths,2013,Neptune-like,0.269,1.2,False,70.47995467171542
1499,Kepler-105 c,1518.0,4.6 Earths,2014,Super Earth,0.3,1.1,False,51.11111111111111
1500,Kepler-1060 b,2809.0,6.26 Earths,2016,Neptune-like,0.243,0.69,False,106.0136496807736
1501,Kepler-1061 b,1908.0,4.58 Earths,2016,Super Earth,0.154,0.72,False,193.1185697419464
1502,Kepler-1062 b,1266.0,3.75 Earths,2016,Super Earth,0.073,1.04,False,703.6967536123101
1503,Kepler-1063 b,1191.0,2.83 Earths,2016,Super Earth,0.223,1.04,False,56.90844376520742
1504,Kepler-1064 b,1220.0,3.02 Earths,2016,Super Earth,0.085,1.04,False,417.993079584775
1505,Kepler-1065 b,3516.0,13.4 Earths,2016,Neptune-like,0.228,1.04,False,257.77162203755
1506,Kepler-1065 c,3516.0,3.19 Earths,2016,Super Earth,0.212,0.99,False,70.97721609113563
1507,Kepler-1066 b,1302.0,6.17 Earths,2016,Neptune-like,0.177,1.07,False,196.94213029461525
1508,Kepler-1067 b,2248.0,0.437 Earths,2016,Terrestrial,0.157,0.7,False,17.728913951884458
1509,Kepler-1068 b,4997.0,12.8 Earths,2016,Neptune-like,0.133,1.14,False,723.613545141048
1510,Kepler-1069 b,1419.0,3.19 Earths,2016,Super Earth,0.138,0.79,False,167.50682629699642
1511,Kepler-106 b,1468.0,5.3 Earths,2014,Terrestrial,0.333,0.93,False,47.795543291038776
1512,Kepler-106 c,1468.0,10.44 Earths,2014,Super Earth,0.143,0.93,False,510.5384126363148
1513,Kepler-106 d,1468.0,8.1 Earths,2014,Terrestrial,0.211,0.98,False,181.9366141820714
1514,Kepler-106 e,1468.0,11.17 Earths,2014,Super Earth,0.071,0.93,False,2215.8301924221387
1515,Kepler-1070 b,3392.0,3.64 Earths,2016,Super Earth,0.324,1.01,False,34.674592287761016
1516,Kepler-1071 b,3145.0,6.26 Earths,2016,Neptune-like,0.143,0.98,False,306.12743899457195
1517,Kepler-1072 b,3184.0,3.12 Earths,2016,Super Earth,0.137,1.45,False,166.23155202727898
1518,Kepler-1073 b,2730.0,5.9 Earths,2016,Neptune-like,0.142,1.45,False,292.60067446935136
1519,Kepler-1073 c,2730.0,3.33 Earths,2016,Super Earth,0.077,1.45,False,561.6461460617305
1520,Kepler-1074 b,799.0,2.1 Earths,2016,Super Earth,0.259,1.45,False,31.30543671084212
1521,Kepler-1075 b,864.0,2.6 Earths,2016,Super Earth,0.154,1.32,False,109.6306291111486
1522,Kepler-1076 b,649.0,0.437 Earths,2016,Terrestrial,0.212,0.81,False,9.723211107155572
1523,Kepler-1077 b,3582.0,8.1 Earths,2016,Neptune-like,0.141,1.32,False,407.4241738343142
1524,Kepler-1078 b,3963.0,4.27 Earths,2016,Super Earth,0.205,1.0,False,101.60618679357526
1525,Kepler-1079 b,1569.0,3.29 Earths,2016,Super Earth,0.146,1.0,False,154.34415462563334
1526,Kepler-107 b,1714.0,3.51 Earths,2014,Super Earth,0.112,0.57,False,279.81505102040813
1527,Kepler-107 c,1714.0,9.39 Earths,2014,Super Earth,0.127,0.54,False,582.1811643623287
1528,Kepler-107 d,1714.0,3.8 Earths,2014,Super Earth,0.071,0.74,False,753.8186867684983
1529,Kepler-107 e,1714.0,8.6 Earths,2014,Neptune-like,0.247,1.02,False,140.9628087659198
1530,Kepler-1080 b,2244.0,10.8 Earths,2016,Neptune-like,0.17,0.92,False,373.7024221453287
1531,Kepler-1081 b,1386.0,1.01 Earths,2016,Super Earth,0.145,1.36,False,48.03804994054697
1532,Kepler-1082 b,2049.0,1.46 Earths,2016,Super Earth,0.772,2.19,False,2.4497301940991703
1533,Kepler-1083 b,2975.0,11.2 Earths,2016,Neptune-like,0.73,2.19,False,21.01707637455433
1534,Kepler-1084 b,1393.0,1.41 Earths,2016,Super Earth,0.293,1.16,False,16.42418665330988
1535,Kepler-1085 b,4952.0,0.13 Jupiters,2016,Gas Giant,0.09,0.84,False,5100.814814814815
1536,Kepler-1085 c,4952.0,10.7 Earths,2020,Neptune-like,0.1,1.14,False,1069.9999999999998
1537,Kepler-1086 b,1514.0,6.53 Earths,2016,Neptune-like,0.3,0.77,False,72.55555555555556
1538,Kepler-1086 c,1514.0,8.96 Earths,2016,Neptune-like,0.099,1.28,False,914.1924293439444
1539,Kepler-1087 b,1155.0,0.165 Earths,2016,Terrestrial,0.644,1.14,False,0.3978434473978627
1540,Kepler-1088 b,979.0,2.6 Earths,2016,Super Earth,0.292,1.14,False,30.49352598986677
1541,Kepler-1089 b,740.0,4.01 Earths,2016,Super Earth,0.218,0.66,False,84.37841932497264
1542,Kepler-108 b,2378.0,0.176 Jupiters,2014,Gas Giant,0.262,0.66,False,814.8755900005825
1543,Kepler-108 c,2378.0,0.16 Jupiters,2014,Gas Giant,0.054,0.94,True,17438.683127572018
1544,Kepler-1090 b,2290.0,5.69 Earths,2016,Neptune-like,0.127,1.08,False,352.78070556141114
1545,Kepler-1091 b,2985.0,2.73 Earths,2016,Super Earth,0.163,0.49,False,102.75132673416388
1546,Kepler-1092 b,2981.0,4.94 Earths,2016,Super Earth,0.211,1.32,False,110.9588733406707
1547,Kepler-1093 b,2766.0,4.46 Earths,2016,Super Earth,0.225,1.32,False,88.09876543209876
1548,Kepler-1093 c,2766.0,4.5 Earths,2016,Super Earth,0.201,0.82,False,111.38338159946534
1549,Kepler-1094 b,4472.0,10.2 Earths,2016,Neptune-like,0.13,1.03,False,603.5502958579881
1550,Kepler-1095 b,2473.0,1.92 Earths,2016,Super Earth,0.185,1.0,False,56.09934258582907
1551,Kepler-1096 b,1122.0,2.07 Earths,2016,Super Earth,0.174,1.2,False,68.37098692033294
1552,Kepler-1097 b,2407.0,10.7 Earths,2016,Neptune-like,0.175,1.2,False,349.38775510204084
1553,Kepler-1098 b,2858.0,2.24 Earths,2016,Super Earth,0.284,1.21,False,27.77226740726047
1554,Kepler-1099 b,3944.0,8.4 Earths,2016,Neptune-like,0.108,0.92,False,720.164609053498
1555,Kepler-109 b,1570.0,7.3 Earths,2014,Neptune-like,0.111,0.63,False,592.4843762681601
1556,Kepler-109 c,1570.0,21.8 Earths,2014,Neptune-like,0.291,0.79,False,257.4367331514744
1557,Kepler-10 b,608.0,4.60853 Earths,2011,Super Earth,0.116,0.99,False,342.4888525564804
1558,Kepler-10 c,608.0,7.37 Earths,2011,Super Earth,0.252,1.0,False,116.055681531872
1559,Kepler-1100 b,3066.0,3.71 Earths,2016,Super Earth,0.161,1.06,False,143.12719416689168
1560,Kepler-1101 b,2926.0,6.66 Earths,2016,Neptune-like,0.256,1.06,False,101.62353515625
1561,Kepler-1102 b,3216.0,7.56 Earths,2016,Neptune-like,0.278,1.06,False,97.82102375653432
1562,Kepler-1103 b,3004.0,5.77 Earths,2016,Neptune-like,0.374,1.06,False,41.25082215676742
1563,Kepler-1104 b,1683.0,2.04 Earths,2016,Super Earth,0.222,1.06,False,41.3927440954468
1564,Kepler-1105 b,1204.0,4.7 Earths,2016,Super Earth,0.297,1.06,False,53.28254486503645
1565,Kepler-1106 b,3810.0,3.36 Earths,2016,Super Earth,0.163,1.15,False,126.46317136512477
1566,Kepler-1107 b,1491.0,2.36 Earths,2016,Super Earth,0.197,1.15,False,60.8106367079801
1567,Kepler-1108 b,2492.0,2.73 Earths,2016,Super Earth,0.156,1.34,False,112.17948717948718
1568,Kepler-1109 b,2600.0,5.43 Earths,2016,Neptune-like,0.22,0.91,False,112.19008264462808
1569,Kepler-110 b,1946.0,4.01 Earths,2014,Super Earth,0.237,0.94,False,71.39169292670334
1570,Kepler-110 c,1946.0,5.52 Earths,2014,Neptune-like,0.203,1.15,False,133.95132131330533
1571,Kepler-1110 b,2368.0,7.56 Earths,2016,Neptune-like,0.11,1.41,False,624.7933884297521
1572,Kepler-1111 b,3725.0,4.66 Earths,2016,Super Earth,0.179,0.68,False,145.43865672107611
1573,Kepler-1112 b,5656.0,9.38 Earths,2016,Neptune-like,0.147,1.17,False,434.07839326206687
1574,Kepler-1113 b,3676.0,8.3 Earths,2016,Neptune-like,0.12,0.82,False,576.3888888888889
1575,Kepler-1114 b,1393.0,2.39 Earths,2016,Super Earth,0.13,0.84,False,141.42011834319527
1576,Kepler-1115 b,3050.0,3.53 Earths,2016,Super Earth,0.195,1.06,False,92.83366206443128
1577,Kepler-1116 b,3317.0,6.99 Earths,2016,Neptune-like,0.141,1.16,False,351.59197223479714
1578,Kepler-1117 b,2019.0,1.41 Earths,2016,Super Earth,0.651,1.16,False,3.32703320662292
1579,Kepler-1118 b,2668.0,7.95 Earths,2016,Neptune-like,0.237,0.7,False,141.537146824761
1580,Kepler-1119 b,4201.0,4.35 Earths,2016,Super Earth,0.178,1.15,False,137.2932710516349
1581,Kepler-111 b,2185.0,3.12 Earths,2014,Super Earth,0.269,1.54,False,43.11714874034355
1582,Kepler-111 c,2185.0,0.132 Jupiters,2014,Gas Giant,0.251,1.17,True,665.898001619022
1583,Kepler-1120 b,2071.0,2.48 Earths,2016,Super Earth,0.12,0.83,False,172.22222222222223
1584,Kepler-1121 b,1726.0,4.31 Earths,2016,Super Earth,0.152,1.73,False,186.547783933518
1585,Kepler-1122 b,3014.0,4.82 Earths,2016,Super Earth,0.227,0.93,False,93.53956024762756
1586,Kepler-1123 b,2597.0,3.43 Earths,2016,Super Earth,0.099,0.93,False,349.9642893582288
1587,Kepler-1124 b,577.0,2.18 Earths,2016,Super Earth,0.244,0.97,False,36.61650094060737
1588,Kepler-1125 b,2968.0,4.04 Earths,2016,Super Earth,0.171,1.17,False,138.1621695564447
1589,Kepler-1126 b,2179.0,3.64 Earths,2016,Super Earth,0.211,0.84,False,81.75916982996789
1590,Kepler-1127 b,3249.0,4.5 Earths,2016,Super Earth,0.214,0.84,False,98.26185693073631
1591,Kepler-1128 b,3794.0,12.9 Earths,2016,Neptune-like,0.123,0.74,False,852.6670632559984
1592,Kepler-1129 b,4104.0,9.06 Earths,2016,Neptune-like,0.17,1.59,False,313.49480968858126
1593,Kepler-1129 c,4104.0,7.9 Earths,2016,Neptune-like,0.182,0.89,False,238.49776597029344
1594,Kepler-112 b,1699.0,6.17 Earths,2014,Neptune-like,0.149,0.9,False,277.9154092158011
1595,Kepler-112 c,1699.0,6.35 Earths,2014,Neptune-like,0.114,0.34,False,488.6118805786396
1596,Kepler-1130 b,763.0,0.437 Earths,2016,Terrestrial,0.164,0.94,False,16.24776918500892
1597,Kepler-1131 b,3618.0,3.15 Earths,2016,Super Earth,0.154,0.93,False,132.82172373081465
1598,Kepler-1132 b,3066.0,6.12 Earths,2016,Neptune-like,0.175,0.95,False,199.8367346938776
1599,Kepler-1133 b,2678.0,4.54 Earths,2016,Super Earth,0.326,0.91,False,42.71895818435018
1600,Kepler-1134 b,3252.0,7.46 Earths,2016,Neptune-like,0.264,1.0,False,107.03627180899908
1601,Kepler-1135 b,2375.0,4.08 Earths,2016,Super Earth,0.244,1.0,False,68.52996506315507
1602,Kepler-1136 b,1778.0,3.33 Earths,2016,Super Earth,0.162,0.69,False,126.88614540466392
