,name,distance,mass,discovery_date,planet_type,planet_radius_in_unit,mass_of_hoststar.1,goldilock,gravity
578,HD 16417 b,83.0,22.1 Earths,2008,Neptune-like,,,False,
579,HD 164509 b,174.0,0.443 Jupiters,2010,Gas Giant,,1.11,True,
580,HD 164595 b,92.0,16.14 Earths,2015,Neptune-like,,,False,
581,HD 164604 b,129.0,1.99792 Jupiters,2009,Gas Giant,,,True,
582,HD 164922 b,72.0,0.36497 Jupiters,2005,Gas Giant,,0.95,False,
583,HD 164922 c,72.0,13 Earths,2016,Neptune-like,,0.95,False,
584,HD 164922 d,72.0,4 Earths,2020,Super Earth,,0.95,False,
585,HD 165155 b,207.0,2.89 Jupiters,2016,Gas Giant,,0.95,True,
586,HD 1666 b,386.0,6.43 Jupiters,2015,Gas Giant,,1.93,True,
587,HD 166724 b,147.0,3.53 Jupiters,2012,Gas Giant,,,False,
588,HD 167042 b,162.0,1.7 Jupiters,2007,Gas Giant,,4.5,True,
589,HD 168443 b,129.0,7.659 Jupiters,1998,Gas Giant,,1.51,False,
590,HD 168443 c,129.0,17.193 Jupiters,2000,Gas Giant,,1.51,False,
591,HD 168746 b,136.0,0.27 Jupiters,2002,Gas Giant,,1.09,False,
592,HD 1690 b,2510.0,8.79 Jupiters,2010,Gas Giant,,21.66,True,
593,HD 169830 b,123.0,2.88 Jupiters,2000,Gas Giant,,,True,
594,HD 169830 c,123.0,4.04 Jupiters,2003,Gas Giant,,,False,
595,HD 170469 b,197.0,0.66 Jupiters,2007,Gas Giant,,1.24,False,
596,HD 17092 b,750.0,10.13 Jupiters,2007,Gas Giant,,13.58,True,
597,HD 171028 b,365.0,2.62 Jupiters,2007,Gas Giant,,2.47,True,
598,HD 171238 b,146.0,2.72 Jupiters,2009,Gas Giant,,1.01,False,
599,HD 17156 b,255.0,3.51 Jupiters,2007,Gas Giant,1.1,1.55,False,921.9406611570246
600,HD 173416 b,433.0,2.7 Jupiters,2008,Gas Giant,,13.5,True,
601,HD 175167 b,232.0,8.97 Jupiters,2009,Gas Giant,,1.75,False,
602,HD 175541 b,424.0,0.598 Jupiters,2007,Gas Giant,,4.19,True,
603,HD 175607 b,132.0,8.98 Earths,2015,Neptune-like,,0.7,False,
604,HD 17674 b,145.0,0.87 Jupiters,2017,Gas Giant,,1.18,True,
605,HD 176986 b,91.0,5.74 Earths,2017,Neptune-like,,0.78,False,
606,HD 176986 c,91.0,9.18 Earths,2017,Neptune-like,,0.78,False,
607,HD 177565 b,55.0,15.1 Earths,2017,Neptune-like,,,False,
608,HD 177830 b,205.0,1.69 Jupiters,1999,Gas Giant,,3.26,True,
609,HD 177830 c,205.0,0.15 Jupiters,2010,Gas Giant,,3.26,True,
610,HD 178911 B b,134.0,8.03 Jupiters,2001,Gas Giant,,1.08,False,
611,HD 179079 b,228.0,25.74423 Earths,2008,Neptune-like,,1.63,False,
612,HD 179949 b,90.0,0.916 Jupiters,2000,Gas Giant,,,False,
613,HD 180053 b,449.0,2.194 Jupiters,2018,Gas Giant,,4.06,True,
614,HD 18015 b,405.0,3.18 Jupiters,2018,Gas Giant,,3.13,False,
615,HD 180314 b,401.0,20.13 Jupiters,2010,Gas Giant,,8.13,True,
616,HD 180617 b,19.0,12.2 Earths,2018,Neptune-like,,0.45,False,
617,HD 180902 b,342.0,1.685 Jupiters,2009,Gas Giant,,4.16,True,
618,HD 181234 b,156.0,8.37 Jupiters,2019,Gas Giant,,1.05,False,
619,HD 181342 b,394.0,2.54 Jupiters,2009,Gas Giant,,4.71,True,
620,HD 181433 b,88.0,6.3566 Earths,2008,Neptune-like,,0.79,False,
621,HD 181433 c,88.0,0.64 Jupiters,2008,Gas Giant,,0.79,True,
622,HD 181433 d,88.0,0.54 Jupiters,2008,Gas Giant,,0.79,False,
623,HD 181720 b,197.0,0.4 Jupiters,2009,Gas Giant,,1.5,True,
624,HD 183263 b,177.0,3.95 Jupiters,2004,Gas Giant,,1.23,True,
625,HD 183263 c,177.0,3.57 Jupiters,2008,Gas Giant,,1.23,False,
626,HD 185269 b,170.0,1.01 Jupiters,2006,Gas Giant,,2.0,False,
627,HD 187085 b,150.0,0.836 Jupiters,2006,Gas Giant,,1.27,False,
628,HD 187123 b,150.0,0.523 Jupiters,1998,Gas Giant,,,False,
629,HD 187123 c,150.0,1.99 Jupiters,2008,Gas Giant,,,False,
630,HD 18742 b,533.0,3.4 Jupiters,2011,Gas Giant,,5.13,True,
631,HD 188015 b,166.0,1.5 Jupiters,2004,Gas Giant,,,True,
632,HD 189733 b,65.0,1.13 Jupiters,2005,Gas Giant,1.13,0.75,False,281.2566371681416
633,HD 190360 b,52.0,1.54 Jupiters,2003,Gas Giant,,1.14,False,
634,HD 190360 c,52.0,19.069 Earths,2005,Neptune-like,,1.14,False,
635,HD 190647 b,178.0,1.985 Jupiters,2007,Gas Giant,,1.38,False,
636,HD 190984 b,485.0,3.1 Jupiters,2009,Gas Giant,,1.53,False,
637,HD 191806 b,215.0,8.52 Jupiters,2016,Gas Giant,,,False,
638,HD 191939 b,174.0,11.6 Earths,2020,Neptune-like,0.305,0.94,False,124.69766191883902
639,HD 191939 c,174.0,10.5 Earths,2020,Neptune-like,0.288,0.94,False,126.5914351851852
