,name,distance,mass,luminocity,discovery_date,planet_type,orbital_radius,planet_hoststar_name,planet_letter,planet_name,planet_discovery_method,planet_existance_in_question,num_of_planets_in_system,planet_orbital_period,planet_orbital_period_error1,planet_orbital_period_error2,planet_minimum_orbital_period,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,planet_maximum_limit_orbtial_period,planet_eccentricity,planet_eccentricity_error1,planet_eccentricity_error2,planet_eccentricity_limit,planet_orbital_inclination,planet_orbital_inclination_error1,planet_orbital_inclination_error2,planet_min_orbital_inclination,mass_in_kg,mass_in_unit_error1,mass_in_unit_error2,minimum_mass_in_unit,mass_unit,planet_radius_in_unit,planet_radius_in_unit_error1,planet_radius_in_unit_error2,minimum_planet_radius_in_unit,planet_density,planet_density_error1,planet_density_error2,minimum_planet_density,planet_orbital_inclination_compared_to_others,kepler_telescope_data,k2_telescope_data,num_of_notes,right_ascension_east_n_west_base60,right_ascension_east_n_west_base10,right_ascension_north_n_south_base60,right_ascension_north_n_south_base10,steller_distance,steller_distance_error1,steller_distance_error2,minimum_steller_distance,dist_from_gaia_paralax,dist_from_gaia_paralax_error1,dist_from_gaia_paralax_error2,minimum_dist_from_gaia_paralax,steller_magnitude,steller_magnitude_error,minimum_steller_magnitude,steller_optical_magnitude_band,photometric_visibility,photometric_visibility_error,photometric_visibility_magnitude,temperature_of_hoststar,temperature_of_hoststar_error1,temperature_of_hoststar_error2,minimum_temperature_of_hoststar,mass_of_hoststar,mass_of_hoststar_error1,mass_of_hoststar_error2,minimum_mass_of_hoststar,mass_of_hoststar.1,radius_of_hoststar_error1,radius_of_hoststar_error2,minimum_radius_of_hoststar,date_of_last_update,observer,gravity,suitable_type,goldilock,suitable_speed
2535,Kepler-237 c,2187.0,498 Earths,15.283,2014,Super Earth,0.071 AU,Kepler-236,b,kepler-236 b,Transit,0,2,8.295611,3.2e-05,-3.2e-05,0.0,0.065,,,0.0,,,,,,,,,,,,,,0.14,0.011,-0.011,0.0,,,,,0,1,0,1,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,291.17,2.29,-2.29,0.0,291.17,2.29,-2.29,0.0,15.414,,0.0,Kepler-band,15.374,,0.0,3750.0,150.0,-150.0,0.0,,,,,0.51,0.02,-0.02,0.0,2014-05-14,Kepler,6921391.087047062,True,False,False
2536,Kepler-238 b,6190.0,364 Earths,15.024,2014,Super Earth,0.034 AU,Kepler-236,c,kepler-236 c,Transit,0,2,23.968127,0.000174,-0.000174,0.0,0.132,,,0.0,,,,,,,,,,,,,,0.178,0.015,-0.015,0.0,,,,,0,1,0,1,18h55m27.93s,283.866378,+39d53m53.1s,39.898092,291.17,2.29,-2.29,0.0,291.17,2.29,-2.29,0.0,15.414,,0.0,Kepler-band,15.374,,0.0,3750.0,150.0,-150.0,0.0,,,,,0.51,0.02,-0.02,0.0,2014-05-14,Kepler,3129547.135101989,True,False,False
2537,Kepler-238 c,6190.0,63 Earths,15.024,2014,Neptune-like,0.069 AU,Kepler-237,b,kepler-237 b,Transit,0,2,4.715106,3e-05,-3e-05,0.0,0.05,,,0.0,,,,,,,,,,,,,,0.126,0.067,-0.067,0.0,,,,,0,1,0,1,18h52m53.13s,283.221387,+40d25m18.6s,40.421834,670.41,10.59,-10.59,0.0,670.41,10.59,-10.59,0.0,15.289,,0.0,Kepler-band,15.283,,0.0,4861.0,200.0,-200.0,0.0,,,,,0.72,0.38,-0.38,0.0,2014-05-14,Kepler,1080984.7748623258,False,False,False
2538,Kepler-238 d,6190.0,964 Earths,15.024,2014,Neptune-like,0.115 AU,Kepler-237,c,kepler-237 c,Transit,0,2,8.103636,3.2e-05,-3.2e-05,0.0,0.071,,,0.0,,,,,,,,,,,,,,0.186,0.098,-0.098,0.0,,,,,0,1,0,1,18h52m53.13s,283.221387,+40d25m18.6s,40.421834,670.41,10.59,-10.59,0.0,670.41,10.59,-10.59,0.0,15.289,,0.0,Kepler-band,15.283,,0.0,4861.0,200.0,-200.0,0.0,,,,,0.72,0.38,-0.38,0.0,2014-05-14,Kepler,7590515.359803303,False,False,False
2539,Kepler-238 e,6190.0,169720.35491999998 Earths,15.024,2013,Neptune-like,Unknown,Kepler-238,b,kepler-238 b,Transit,0,5,2.090876,2e-05,-2e-05,0.0,0.034,,,0.0,,,,,,,,,,,,,,0.154,0.036,-0.036,0.0,,,,,0,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1897.73,79.95,-79.95,0.0,1897.73,79.95,-79.95,0.0,15.084,,0.0,Kepler-band,15.024,,0.0,5751.0,100.0,-100.0,0.0,,,,,1.43,0.26,-0.26,0.0,2014-05-14,Kepler,1949452274.9406755,False,False,False
2540,Kepler-238 f,6190.0,135 Earths,15.024,2013,Super Earth,Unknown,Kepler-238,c,kepler-238 c,Transit,0,5,6.155557,5e-05,-5e-05,0.0,0.069,,,0.0,,,,,,,,,,,,,,0.213,0.04,-0.04,0.0,,,,,0,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1897.73,79.95,-79.95,0.0,1897.73,79.95,-79.95,0.0,15.084,,0.0,Kepler-band,15.024,,0.0,5751.0,100.0,-100.0,0.0,,,,,1.43,0.26,-0.26,0.0,2014-05-14,Kepler,810577.7522276515,True,False,False
2541,Kepler-239 b,2153.0,604 Earths,15.233,2014,Neptune-like,0.095 AU,Kepler-238,d,kepler-238 d,Transit,0,5,13.233549,8.1e-05,-8.1e-05,0.0,0.115,,,0.0,,,,,,,,,,,,,,0.274,0.051,-0.051,0.0,,,,,0,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1897.73,79.95,-79.95,0.0,1897.73,79.95,-79.95,0.0,15.084,,0.0,Kepler-band,15.024,,0.0,5751.0,100.0,-100.0,0.0,,,,,1.43,0.26,-0.26,0.0,2014-05-14,Kepler,2191572.947576388,False,False,False
2542,Kepler-239 c,2153.0,685 Earths,15.233,2014,Neptune-like,0.268 AU,Kepler-238,e,kepler-238 e,Transit,0,5,23.654,,,0.0,,,,,,,,,,,,,0.534,0.226,-0.217,0.0,Mass,0.5,0.211,-0.041,0.0,,,,,1,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1897.73,79.95,-79.95,0.0,1897.73,79.95,-79.95,0.0,15.084,,0.0,Kepler-band,15.024,,0.0,5751.0,100.0,-100.0,0.0,,,,,1.43,0.26,-0.26,0.0,2014-05-14,Kepler,746398.3673469387,False,False,False
2543,Kepler-23 b,2793.0,2542.62704 Earths,13.401,2011,Neptune-like,0.075 AU,Kepler-238,f,kepler-238 f,Transit,0,5,50.447,,,0.0,,,,,,,,,,,,,0.042,0.009,-0.008,0.0,Mass,0.178,0.076,-0.015,0.0,,,,,1,1,0,1,19h11m35.31s,287.897113,+40d38m16.1s,40.637815,1897.73,79.95,-79.95,0.0,1897.73,79.95,-79.95,0.0,15.084,,0.0,Kepler-band,15.024,,0.0,5751.0,100.0,-100.0,0.0,,,,,1.43,0.26,-0.26,0.0,2014-05-14,Kepler,21860635.078749582,False,False,False
2544,Kepler-23 c,2793.0,8581.366259999999 Earths,13.401,2011,Neptune-like,0.099 AU,Kepler-239,b,kepler-239 b,Transit,0,2,11.763051,3.4e-05,-3.4e-05,0.0,0.095,,,0.0,,,,,,,,,,,,,,0.208,0.013,-0.013,0.0,,,,,0,1,0,1,19h36m48.51s,294.202137,+40d39m48.3s,40.663406,660.07,13.72,-13.72,0.0,660.07,13.72,-13.72,0.0,15.208,,0.0,Kepler-band,15.233,,0.0,4914.0,100.0,-100.0,0.0,,,,,0.76,0.04,-0.04,0.0,2014-05-14,Kepler,54031856.07418336,False,False,False
