,name,distance,mass,luminocity,discovery_date,planet_type,orbital_radius,planet_hoststar_name,planet_letter,planet_name,planet_discovery_method,planet_existance_in_question,num_of_planets_in_system,planet_orbital_period,planet_orbital_period_error1,planet_orbital_period_error2,planet_minimum_orbital_period,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,planet_maximum_limit_orbtial_period,planet_eccentricity,planet_eccentricity_error1,planet_eccentricity_error2,planet_eccentricity_limit,planet_orbital_inclination,planet_orbital_inclination_error1,planet_orbital_inclination_error2,planet_min_orbital_inclination,mass_in_kg,mass_in_unit_error1,mass_in_unit_error2,minimum_mass_in_unit,mass_unit,planet_radius_in_unit,planet_radius_in_unit_error1,planet_radius_in_unit_error2,minimum_planet_radius_in_unit,planet_density,planet_density_error1,planet_density_error2,minimum_planet_density,planet_orbital_inclination_compared_to_others,kepler_telescope_data,k2_telescope_data,num_of_notes,right_ascension_east_n_west_base60,right_ascension_east_n_west_base10,right_ascension_north_n_south_base60,right_ascension_north_n_south_base10,steller_distance,steller_distance_error1,steller_distance_error2,minimum_steller_distance,dist_from_gaia_paralax,dist_from_gaia_paralax_error1,dist_from_gaia_paralax_error2,minimum_dist_from_gaia_paralax,steller_magnitude,steller_magnitude_error,minimum_steller_magnitude,steller_optical_magnitude_band,photometric_visibility,photometric_visibility_error,photometric_visibility_magnitude,temperature_of_hoststar,temperature_of_hoststar_error1,temperature_of_hoststar_error2,minimum_temperature_of_hoststar,mass_of_hoststar,mass_of_hoststar_error1,mass_of_hoststar_error2,minimum_mass_of_hoststar,mass_of_hoststar.1,radius_of_hoststar_error1,radius_of_hoststar_error2,minimum_radius_of_hoststar,date_of_last_update,observer,gravity,suitable_type,goldilock,suitable_speed
0,11 Comae Berenices b,305.0,61658.70572 Earths,4.74,2007,Gas Giant,1.29 AU,11 Com,b,11 com b,Radial Velocity,0,1,326.03,0.32,-0.32,0.0,1.29,0.05,-0.05,0.0,0.231,0.005,-0.005,0.0,,,,,19.4,1.5,-1.5,0.0,Msini,,,,,,,,,0,0,0,0,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,93.37,1.92,-1.92,0.0,93.37,1.92,-1.92,0.0,4.74,,0.0,V (Johnson),4.372,,0.0,4742.0,100.0,-100.0,0.0,2.7,0.3,-0.3,0.0,19.0,2.0,-2.0,0.0,2014-05-14,Xinglong Station,-1.0,False,True,False
1,11 Ursae Minoris b,410.0,468479.03212 Earths,5.016,2009,Gas Giant,1.53 AU,11 UMi,b,11 umi b,Radial Velocity,0,1,516.21997,3.2,-3.2,0.0,1.53,0.07,-0.07,0.0,0.08,0.03,-0.03,0.0,,,,,14.74,2.5,-2.5,0.0,Msini,,,,,,,,,0,0,0,0,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,125.72,1.97,-1.97,0.0,125.72,1.97,-1.97,0.0,5.016,0.009,0.0,V (Johnson),4.5,,0.0,4213.0,46.0,-46.0,0.0,2.78,0.69,-0.69,0.0,29.79,2.84,-2.84,0.0,2018-09-06,Thueringer Landessternwarte Tautenburg,-1.0,False,True,False
2,14 Andromedae b,247.0,15255.76224 Earths,5.227,2008,Gas Giant,0.83 AU,14 And,b,14 and b,Radial Velocity,0,1,185.84,0.23,-0.23,0.0,0.83,,,0.0,0.0,,,0.0,,,,,4.8,,,0.0,Msini,,,,,,,,,0,0,0,0,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,75.59,0.71,-0.71,0.0,75.59,0.71,-0.71,0.0,5.227,0.009,0.0,V (Johnson),4.872,,0.0,4813.0,20.0,-20.0,0.0,2.2,0.1,-0.2,0.0,11.0,1.0,-1.0,0.0,2014-05-14,Okayama Astrophysical Observatory,-1.0,False,True,False
3,14 Herculis b,59.0,148108.02508 Earths,6.61,2002,Gas Giant,2.93 AU,14 Her,b,14 her b,Radial Velocity,0,1,1773.40002,2.5,-2.5,0.0,2.93,0.08,-0.08,0.0,0.37,0.0,0.0,0.0,,,,,4.66,0.15,-0.15,0.0,Msini,,,,,,,,,0,0,0,0,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,17.94,0.01,-0.01,0.0,17.94,0.01,-0.01,0.0,6.61,0.02,0.0,V (Johnson),6.379,,0.0,5338.0,25.0,-25.0,0.0,0.9,0.04,-0.04,0.0,0.93,0.01,-0.01,0.0,2018-09-06,W. M. Keck Observatory,-1.0,False,False,False
4,16 Cygni B b,69.0,56573.45164 Earths,6.25,1996,Gas Giant,1.66 AU,16 Cyg B,b,16 cyg b b,Radial Velocity,0,1,798.5,1.0,-1.0,0.0,1.66,0.03,-0.03,0.0,0.68,0.02,-0.02,0.0,,,,,1.78,0.08,-0.08,0.0,Msini,,,,,,,,,0,0,0,0,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.15,0.01,-0.01,0.0,21.15,0.01,-0.01,0.0,6.25,,0.0,V (Johnson),6.057,,0.0,5750.0,8.0,-8.0,0.0,1.08,0.04,-0.04,0.0,1.13,0.01,-0.01,0.0,2018-09-06,Multiple Observatories,-1.0,False,True,False
5,18 Delphini b,249.0,32736.323139999997 Earths,5.506,2008,Gas Giant,2.6 AU,18 Del,b,18 del b,Radial Velocity,0,1,993.3,3.2,-3.2,0.0,2.6,,,0.0,0.08,0.01,-0.01,0.0,,,,,10.3,,,0.0,Msini,,,,,,,,,0,0,0,0,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,76.38,0.62,-0.62,0.0,76.38,0.62,-0.62,0.0,5.506,0.009,0.0,V (Johnson),5.244,,0.0,4979.0,18.0,-18.0,0.0,2.3,,,0.0,8.5,,,0.0,2014-05-14,Okayama Astrophysical Observatory,-1.0,False,False,False
6,1RXS J160929.1-210524 b,473.0,2542.62704 Earths,12.057,2008,Gas Giant,330.0 AU,1RXS J160929.1-210524,b,1rxs j160929.1-210524 b,Imaging,0,1,,,,,330.0,,,0.0,,,,,,,,,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145.0,14.0,-14.0,0.0,139.67,1.32,-1.32,0.0,,,,,12.057,,0.0,4060.0,300.0,-200.0,0.0,0.85,0.2,-0.1,0.0,,,,,2015-04-01,Gemini Observatory,-1.0,False,False,False
7,24 Bootis b,314.0,28922.382579999998 Earths,5.58,2018,Gas Giant,0.19 AU,24 Boo,b,24 boo b,Radial Velocity,0,1,30.3506,0.0078,-0.0077,0.0,0.19,0.012,-0.009,0.0,0.042,0.048,-0.029,0.0,,,,,0.91,0.13,-0.1,0.0,Msini,,,,,,,,,0,0,0,0,14h28m37.81s,217.157547,+49d50m41.5s,49.844852,96.25,0.64,-0.64,0.0,96.25,0.64,-0.64,0.0,5.58,,0.0,V (Johnson),5.305,,0.0,4893.0,15.0,-15.0,0.0,0.99,0.19,-0.13,0.0,10.64,0.84,-0.59,0.0,2018-04-26,Okayama Astrophysical Observatory,-1.0,False,False,False
8,24 Sextantis b,236.0,63247.84761999999 Earths,6.441,2010,Gas Giant,1.333 AU,24 Sex,b,24 sex b,Radial Velocity,0,2,452.8,2.1,-4.5,0.0,1.333,0.004,-0.009,0.0,0.09,0.14,-0.06,0.0,,,,,1.99,0.26,-0.38,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory,-1.0,False,True,False
9,24 Sextantis c,236.0,27333.24068 Earths,6.441,2010,Gas Giant,2.08 AU,24 Sex,c,24 sex c,Radial Velocity,0,2,883.0,32.4,-13.8,0.0,2.08,0.05,-0.02,0.0,0.29,0.16,-0.09,0.0,,,,,0.86,0.35,-0.22,0.0,Msini,,,,,,,,,0,0,0,0,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,72.21,0.68,-0.68,0.0,72.21,0.68,-0.68,0.0,6.441,0.01,0.0,V (Johnson),6.198,,0.0,5098.0,44.0,-44.0,0.0,1.54,0.08,-0.08,0.0,4.9,0.08,-0.08,0.0,2014-05-14,Lick Observatory,-1.0,False,False,False
10,2MASS J01033563-5515561 AB b,154.0,4131.76894 Earths,,2013,Gas Giant,84.0 AU,2MASS J01033563-5515561 A,b,2mass j01033563-5515561 ab b,Imaging,0,1,,,,0.0,84.0,,,0.0,,,,0.0,,,,0.0,13.0,1.0,-1.0,0.0,Mass,,,,0.0,,,,0.0,0,0,0,0,01h03m35.63s,15.898458,-55d15m56.1s,-55.265583,47.2,3.1,-3.1,0.0,,,,,,,,,,,,,,,0.0,0.19,0.02,-0.02,0.0,,,,0.0,2020-09-03,Paranal Observatory,-1.0,False,False,False
11,2MASS J01225093-2439505 b,117.0,77867.9531 Earths,14.24,2013,Gas Giant,52.0 AU,2MASS J01225093-2439505,b,2mass j01225093-2439505 b,Imaging,0,1,,,,,52.0,6.0,-6.0,0.0,,,,,,,,,24.5,2.5,-2.5,0.0,Mass,,,,,,,,,0,0,0,0,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36.0,4.0,-4.0,0.0,33.86,0.09,-0.09,0.0,14.24,0.07,0.0,V (Johnson),12.903,,0.0,3530.0,50.0,-50.0,0.0,0.4,0.05,-0.05,0.0,,,,,2014-05-14,W. M. Keck Observatory,-1.0,False,False,False
12,2MASS J02192210-3925225 b,129.0,44178.144819999994 Earths,15.012,2015,Gas Giant,156.0 AU,2MASS J02192210-3925225,b,2mass j02192210-3925225 b,Imaging,0,1,,,,,156.0,10.0,-10.0,0.0,,,,,,,,,13.9,1.1,-1.1,0.0,Mass,1.44,0.03,-0.03,0.0,,,,,0,0,0,0,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,0.0,40.09,0.19,-0.19,0.0,,,,,15.012,,0.0,3064.0,76.0,-76.0,0.0,0.11,0.01,-0.01,0.0,0.28,0.01,-0.01,0.0,2015-05-14,Cerro Tololo Inter-American Observatory,5803668.637579521,False,False,False
13,2MASS J04414489+2301513 b,457.0,23837.1285 Earths,18.967,2010,Gas Giant,15.0 AU,2MASS J04414489+2301513,b,2mass j04414489+2301513 b,Imaging,0,1,,,,,15.0,,,0.0,,,,,,,,,7.5,2.5,-2.5,0.0,Mass,,,,,,,,,0,0,0,0,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140.0,,,0.0,120.42,5.48,-5.48,0.0,,,,,18.967,,0.0,,,,,0.02,,,0.0,,,,,2014-05-14,Hubble Space Telescope,-1.0,False,False,False
14,2MASS J12073346-3932539 b,210.0,1271.31352 Earths,20.15,2004,Gas Giant,46.0 AU,2MASS J12073346-3932539,b,2mass j12073346-3932539 b,Imaging,0,1,,,,,46.0,5.0,-5.0,0.0,,,,,,,,,4.0,1.0,-1.0,0.0,Mass,,,,,,,,,0,0,0,0,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,64.42,0.65,-0.65,0.0,64.42,0.65,-0.65,0.0,20.15,0.19,0.0,V (Johnson),17.408,,0.0,,,,,0.02,,,0.0,,,,,2014-05-14,Paranal Observatory,-1.0,False,False,False
15,2MASS J19383260+4603591 b,1307.0,6038.7392199999995 Earths,12.138,2015,Gas Giant,0.92 AU,2MASS J19383260+4603591,b,2mass j19383260+4603591 b,Eclipse Timing Variations,0,1,416.0,2.0,-2.0,0.0,0.92,0.02,-0.02,0.0,,,,,,,,,1.9,0.1,-0.1,0.0,Mass,,,,,,,,,0,1,0,0,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,400.77,6.48,-6.48,0.0,400.77,6.48,-6.48,0.0,12.264,,0.0,Kepler-band,12.138,,0.0,,,,,0.48,0.03,-0.03,0.0,,,,,2015-06-04,Kepler,-1.0,False,True,False
16,2MASS J21402931+1625183 A b,82.0,665850.4561 Earths,17.396,2009,Gas Giant,Unknown,2MASS J21402931+1625183 A,b,2mass j21402931+1625183 a b,Imaging,0,1,7336.5,1934.5,-584.0,0.0,,,,,0.26,0.06,-0.06,0.0,46.2,2.5,-8.7,0.0,20.95,83.79,-20.95,0.0,Mass,0.92,0.39,-0.36,0.0,,,,,0,0,0,0,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25.0,10.0,-10.0,0.0,33.12,0.48,-0.48,0.0,,,,,17.396,,0.0,2300.0,80.0,-80.0,0.0,0.08,0.06,-0.06,0.0,0.12,0.05,-0.04,0.0,2014-05-14,W. M. Keck Observatory,214299503.4919274,False,False,False
17,2MASS J22362452+4751425 b,241.0,39728.5475 Earths,12.51,2016,Gas Giant,230.0 AU,2MASS J22362452+4751425,b,2mass j22362452+4751425 b,Imaging,0,1,,,,,230.0,20.0,-20.0,0.0,,,,,,,,,12.5,1.5,-1.5,0.0,Mass,,,,,,,,,0,0,0,1,22h36m24.53s,339.102203,+47d51m42.6s,47.86182,74.0,10.0,-10.0,0.0,69.71,0.16,-0.16,0.0,12.51,0.03,0.0,V (Johnson),11.948,,0.0,4045.0,35.0,-35.0,0.0,0.6,0.05,-0.05,0.0,,,,,2016-11-10,W. M. Keck Observatory,-1.0,False,False,False
18,30 Arietis B b,146.0,439238.82116 Earths,6.962,2009,Gas Giant,0.99 AU,30 Ari B,b,30 ari b b,Radial Velocity,0,1,335.10001,2.5,-2.5,0.0,0.99,0.02,-0.02,0.0,0.29,0.09,-0.09,0.0,,,,,13.82,1.8,-1.8,0.0,Msini,,,,,,,,,0,0,0,0,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,44.71,0.1,-0.1,0.0,44.71,0.1,-0.1,0.0,6.962,0.011,0.0,V (Johnson),6.961,,0.0,6331.0,61.0,-61.0,0.0,1.93,0.27,-0.27,0.0,1.41,0.05,-0.05,0.0,2018-09-06,Thueringer Landessternwarte Tautenburg,-1.0,False,True,False
19,42 Draconis b,296.0,123317.41144 Earths,4.82,2008,Gas Giant,1.19 AU,4 UMa,b,4 uma b,Radial Velocity,0,1,269.3,1.96,-1.96,0.0,0.87,0.04,-0.04,0.0,0.432,0.024,-0.024,0.0,,,,,7.1,1.6,-1.6,0.0,Msini,,,,,,,,,0,0,0,0,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,73.58,1.18,-1.18,0.0,73.58,1.18,-1.18,0.0,4.61,,0.0,V (Johnson),4.16,,0.0,4415.0,70.0,-70.0,0.0,1.23,0.15,-0.15,0.0,18.11,1.47,-1.47,0.0,2014-05-14,Thueringer Landessternwarte Tautenburg,-1.0,False,True,False
20,47 Ursae Majoris b,45.0,80410.58013999999 Earths,5.05,1996,Gas Giant,2.1 AU,42 Dra,b,42 dra b,Radial Velocity,0,1,479.1,6.2,-6.2,0.0,1.19,0.01,-0.01,0.0,0.38,0.06,-0.06,0.0,,,,,3.88,0.85,-0.85,0.0,Msini,,,,,,,,,0,0,0,0,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,90.86,1.32,-1.32,0.0,90.86,1.32,-1.32,0.0,4.82,,0.0,V (Johnson),4.364,,0.0,4200.0,70.0,-70.0,0.0,0.98,0.05,-0.05,0.0,22.03,1.0,-1.0,0.0,2014-05-14,Thueringer Landessternwarte Tautenburg,-1.0,False,False,False
21,47 Ursae Majoris c,45.0,17162.732519999998 Earths,5.05,2001,Gas Giant,3.6 AU,47 UMa,b,47 uma b,Radial Velocity,0,3,1078.0,2.0,-2.0,0.0,2.1,0.02,-0.02,0.0,0.032,0.014,-0.014,0.0,,,,,2.53,0.07,-0.06,0.0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0.0,13.8,0.03,-0.03,0.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,1.03,0.05,-0.05,0.0,1.23,,,0.0,2014-05-14,Lick Observatory,-1.0,False,False,False
22,47 Ursae Majoris d,45.0,52123.85432 Earths,5.05,2009,Gas Giant,11.6 AU,47 UMa,c,47 uma c,Radial Velocity,0,3,2391.0,100.0,-87.0,0.0,3.6,0.1,-0.1,0.0,0.098,0.047,-0.096,0.0,,,,,0.54,0.066,-0.073,0.0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0.0,13.8,0.03,-0.03,0.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,1.03,0.05,-0.05,0.0,1.23,,,0.0,2014-05-14,Lick Observatory,-1.0,False,False,False
23,4 Ursae Majoris b,240.0,22565.81498 Earths,4.61,2006,Gas Giant,0.87 AU,47 UMa,d,47 uma d,Radial Velocity,0,3,14002.0,4018.0,-5095.0,0.0,11.6,2.1,-2.9,0.0,0.16,0.09,-0.16,0.0,,,,,1.64,0.29,-0.48,0.0,Msini,,,,,,,,,0,0,0,0,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,13.8,0.03,-0.03,0.0,13.8,0.03,-0.03,0.0,5.05,,0.0,V (Johnson),4.831,,0.0,5892.0,70.0,-70.0,0.0,1.03,0.05,-0.05,0.0,1.23,,,0.0,2014-05-14,Lick Observatory,-1.0,False,True,True
24,51 Eridani b,96.0,635.65676 Earths,5.23,2015,Gas Giant,12.0 AU,51 Eri,b,51 eri b,Imaging,0,1,11688.0,6209.25,-3287.25,0.0,12.0,4.0,-2.0,0.0,0.45,0.1,-0.15,0.0,133.0,14.0,-7.0,0.0,,,,,,,,,,,,,,0,0,0,1,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,0.0,29.78,0.12,-0.12,0.0,5.23,,0.0,V (Johnson),5.122,,0.0,,,,,1.75,0.05,-0.05,0.0,,,,,2019-07-11,Gemini Observatory,-1.0,False,False,False
25,51 Pegasi b,50.0,14620.105479999998 Earths,5.5,1995,Gas Giant,0.0527 AU,51 Peg,b,51 peg b,Radial Velocity,0,1,4.230785,3.6e-05,-3.6e-05,0.0,0.0527,0.003,-0.003,0.0,0.013,0.012,-0.012,0.0,,,,,0.472,0.039,-0.039,0.0,Msini,,,,,,,,,0,0,0,0,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.47,0.03,-0.03,0.0,15.47,0.03,-0.03,0.0,5.5,,0.0,V (Johnson),5.256,,0.0,5793.0,70.0,-70.0,0.0,1.12,0.06,-0.06,0.0,1.2,,,0.0,2014-05-14,Haute-Provence Observatory,-1.0,False,False,False
26,55 Cancri b,41.0,2639882.52428 Earths,5.96,1996,Gas Giant,0.115227 AU,55 Cnc,b,55 cnc b,Radial Velocity,0,5,14.65152,0.00015,-0.00015,0.0,0.115227,1e-06,-1e-06,0.0,0.0034,0.0032,-0.0032,0.0,90.0,,,0.0,0.8306,0.0033,-0.0033,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,Lick Observatory,-1.0,False,False,False
27,55 Cancri c,41.0,544757.84332 Earths,5.96,2004,Gas Giant,0.241376 AU,55 Cnc,c,55 cnc c,Radial Velocity,0,5,44.4175,0.0073,-0.0073,0.0,0.241376,2.6e-05,-2.6e-05,0.0,0.02,0.031,-0.031,0.0,90.0,,,0.0,0.1714,0.0055,-0.0055,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,McDonald Observatory,-1.0,False,False,False
28,55 Cancri d,41.0,1232538.45764 Earths,5.96,2002,Gas Giant,5.503 AU,55 Cnc,d,55 cnc d,Radial Velocity,0,5,4825.0,39.0,-39.0,0.0,5.503,0.03,-0.03,0.0,0.019,0.013,-0.013,0.0,90.0,,,0.0,3.878,0.068,-0.068,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,Lick Observatory,-1.0,False,False,False
29,55 Cancri e,41.0,808 Earths,5.96,2004,Super Earth,0.01544 AU,55 Cnc,e,55 cnc e,Radial Velocity,0,5,0.736539,7e-06,-7e-06,0.0,0.01544,9e-05,-9e-05,0.0,,,,,83.3,0.9,-0.8,0.0,0.02542,0.00098,-0.00098,0.0,Mass,0.17,0.007,-0.007,0.0,6.4,0.8,-0.7,0.0,0,0,0,2,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2019-01-31,McDonald Observatory,7616117.505825858,True,False,False
30,55 Cancri f,41.0,44813.80158 Earths,5.96,2007,Gas Giant,0.788 AU,55 Cnc,f,55 cnc f,Radial Velocity,0,5,262.0,0.51,-0.51,0.0,0.788,0.001,-0.001,0.0,0.305,0.075,-0.075,0.0,90.0,,,0.0,0.141,0.012,-0.012,0.0,Mass,,,,,,,,,0,0,0,0,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.59,0.01,-0.01,0.0,12.59,0.01,-0.01,0.0,5.96,0.01,0.0,V (Johnson),5.714,,0.0,5196.0,24.0,-24.0,0.0,0.91,0.01,-0.01,0.0,0.94,0.01,-0.01,0.0,2014-10-29,Multiple Observatories,-1.0,False,True,False
31,61 Virginis b,28.0,51 Earths,4.74,2009,Neptune-like,0.050201 AU,6 Lyn,b,6 lyn b,Radial Velocity,0,1,934.3,8.6,-8.6,0.0,2.11,0.11,-0.11,0.0,0.073,0.036,-0.036,0.0,,,,,2.01,0.077,-0.077,0.0,Msini,,,,,,,,,0,0,0,0,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,54.74,0.27,-0.27,0.0,54.74,0.27,-0.27,0.0,5.86,,0.0,V (Johnson),5.588,,0.0,4938.0,,,0.0,1.44,,,0.0,5.2,,,0.0,2018-12-06,Okayama Astrophysical Observatory,-1.0,False,False,True
32,61 Virginis c,28.0,182 Earths,4.74,2009,Neptune-like,0.2175 AU,61 Vir,b,61 vir b,Radial Velocity,0,3,4.215,0.0006,-0.0006,0.0,0.050201,5e-06,-5e-06,0.0,0.12,0.11,-0.11,0.0,,,,,0.016,0.002,-0.002,0.0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0.0,8.51,0.02,-0.02,0.0,4.74,,0.0,V (Johnson),4.477,,0.0,5577.0,33.0,-33.0,0.0,0.94,0.03,-0.03,0.0,0.96,0.01,-0.01,0.0,2014-05-14,Multiple Observatories,-1.0,False,False,False
33,61 Virginis d,28.0,229 Earths,4.74,2009,Neptune-like,0.476 AU,61 Vir,c,61 vir c,Radial Velocity,0,3,38.021,0.034,-0.034,0.0,0.2175,0.0001,-0.0001,0.0,0.14,0.06,-0.06,0.0,,,,,0.057,0.003,-0.003,0.0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0.0,8.51,0.02,-0.02,0.0,4.74,,0.0,V (Johnson),4.477,,0.0,5577.0,33.0,-33.0,0.0,0.94,0.03,-0.03,0.0,0.96,0.01,-0.01,0.0,2014-05-14,Multiple Observatories,-1.0,False,True,False
34,6 Lyncis b,179.0,63883.50438 Earths,5.86,2008,Gas Giant,2.11 AU,61 Vir,d,61 vir d,Radial Velocity,0,3,123.01,0.55,-0.55,0.0,0.476,0.001,-0.001,0.0,0.35,0.09,-0.09,0.0,,,,,0.072,0.008,-0.008,0.0,Msini,,,,,,,,,0,0,0,0,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.51,0.02,-0.02,0.0,8.51,0.02,-0.02,0.0,4.74,,0.0,V (Johnson),4.477,,0.0,5577.0,33.0,-33.0,0.0,0.94,0.03,-0.03,0.0,0.96,0.01,-0.01,0.0,2014-05-14,Multiple Observatories,-1.0,False,False,False
35,70 Virginis b,58.0,238053.45661999998 Earths,4.97,1996,Gas Giant,0.481 AU,7 CMa,b,7 cma b,Radial Velocity,0,2,735.1,14.8,-1.0,0.0,1.758,0.024,-0.001,0.0,0.06,0.03,-0.03,0.0,90.0,,,0.0,1.85,0.06,-0.06,0.0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0.0,19.82,0.16,-0.16,0.0,3.92,,0.0,V (Johnson),3.578,,0.0,4826.0,45.0,-55.0,0.0,1.34,0.11,-0.12,0.0,4.87,0.17,-0.14,0.0,2019-10-24,Anglo-Australian Telescope,-1.0,False,True,False
36,75 Ceti b,271.0,953.48514 Earths,5.35,2012,Gas Giant,2.1 AU,7 CMa,c,7 cma c,Radial Velocity,0,2,996.0,1.5,-52.4,0.0,2.153,0.003,-0.08,0.0,0.08,0.05,-0.04,0.0,90.0,,,0.0,0.87,0.06,-0.06,0.0,Msin(i)/sin(i),,,,,,,,,0,0,0,0,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.82,0.16,-0.16,0.0,19.82,0.16,-0.16,0.0,3.92,,0.0,V (Johnson),3.578,,0.0,4826.0,45.0,-55.0,0.0,1.34,0.11,-0.12,0.0,4.87,0.17,-0.14,0.0,2019-10-24,Multiple Observatories,-1.0,False,False,False
37,7 Canis Majoris b,65.0,58798.2503 Earths,3.92,2011,Gas Giant,1.758 AU,70 Vir,b,70 vir b,Radial Velocity,0,1,116.688,0.0054,-0.0054,0.0,0.481,0.022,-0.022,0.0,0.3988,0.0019,-0.0019,0.0,,,,,7.416,0.057,-0.057,0.0,Msini,,,,,,,,,0,0,0,0,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,17.91,0.06,-0.06,0.0,17.91,0.06,-0.06,0.0,4.97,,0.0,V (Johnson),4.709,,0.0,5495.0,,,0.0,1.09,,,0.0,1.89,,,0.0,2018-12-06,Lick Observatory,-1.0,False,True,False
38,7 Canis Majoris c,65.0,27651.069059999998 Earths,3.92,2019,Gas Giant,2.153 AU,75 Cet,b,75 cet b,Radial Velocity,0,1,691.9,3.6,-3.6,0.0,2.1,,,0.0,0.117,0.048,-0.048,0.0,,,,,3.0,,,0.0,Msini,,,,,,,,,0,0,0,0,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,83.15,0.72,-0.72,0.0,83.15,0.72,-0.72,0.0,5.35,,0.0,V (Johnson),5.055,,0.0,4846.0,18.0,-18.0,0.0,2.49,0.02,-0.27,0.0,10.5,1.0,-1.0,0.0,2015-09-03,Okayama Astrophysical Observatory,-1.0,False,False,False
